0,1,0,2;9;2019-01-02,2018-12-26,2018-12-25,2018-12-23,2018-12-21,2018-12-04,2018-12-03,2018-11-23,2018-11-21,2018-11-07
0,1,0,1;12;2019-01-18,2019-01-17,2019-01-13,2018-12-27,2018-12-18,2018-12-09,2018-11-22
1,1,0,2;6;2019-01-20,2019-01-06,2018-12-25,2018-12-23,2018-12-08,2018-11-26,2018-11-21,2018-11-20,2018-11-18,2018-11-12,2018-11-07
-1,2,1,1;6;2018-12-19,2018-12-17,2018-12-06,2018-12-04,2018-12-03,2018-11-25,2018-11-23
1,2,-1,1;6;2019-01-12,2019-01-07,2019-01-04,2018-12-30,2018-12-09,2018-12-05,2018-12-04,2018-11-23
0,1,0,3;6;2019-01-08,2019-01-04,2019-01-03,2019-01-01,2018-12-14,2018-12-02,2018-11-27,2018-11-19
0,3,1,1;4;2019-01-19,2019-01-02,2018-12-22,2018-12-15,2018-12-06,2018-12-03,2018-11-28,2018-11-19
0,3,1,0;6;2018-12-26,2018-12-21,2018-12-08,2018-12-06,2018-12-04,2018-12-02,2018-11-19,2018-11-17
1,0,-1,1;10;2019-01-20,2019-01-17,2019-01-12,2018-12-31,2018-12-29,2018-12-21,2018-12-14,2018-11-16
1,0,-1,2;8;2019-01-10,2018-12-20,2018-12-11,2018-11-26,2018-11-25,2018-11-22,2018-11-08
1,2,1,1;3;2019-01-19,2018-12-27,2018-11-05
